# Instrument Export
# Instrument: Olympus 38DL Plus
# Serial: 12345678
# Software: v2.3.1
# Export_Date: 2026-01-28 17:12:23
# Operator: JSMITH
# Probe: D7906-SM 5MHz
# Cal_Block: CB-001
#
Reading_No,File_ID,ID,Reading,Thickness_mm,Thickness_in,Velocity_m_s,Gate_Start_mm,Gate_Width_mm,Gain_dB,Date,Time,Flags
31,FILE01,ID013,2,7.638,0.3007,5890,0.5,25.0,45.5,2026-01-28,14:03:53,
32,FILE01,ID013,3,8.674,0.3415,5890,0.5,25.0,45.5,2026-01-28,16:31:12,
33,FILE01,ID013,4,11.647,0.4585,5890,0.5,25.0,45.5,2026-01-28,15:56:34,
34,FILE01,ID014,1,4.691,0.1847,5890,0.5,25.0,45.5,2026-01-28,14:34:28,
35,FILE01,ID014,2,6.096,0.24,5890,0.5,25.0,45.5,2026-01-28,11:43:29,
36,FILE01,ID014,3,11.376,0.4479,5890,0.5,25.0,45.5,2026-01-28,10:58:58,
37,FILE01,ID014,4,5.336,0.2101,5890,0.5,25.0,45.5,2026-01-28,13:08:07,
38,FILE01,ID015,1,5.708,0.2247,5890,0.5,25.0,45.5,2026-01-28,16:48:46,
39,FILE02,ID001,1,4.865,0.1915,5890,0.5,25.0,45.5,2026-01-28,14:08:17,
40,FILE02,ID001,2,11.543,0.4544,5890,0.5,25.0,45.5,2026-01-28,10:33:52,
41,FILE02,ID001,3,10.094,0.3974,5890,0.5,25.0,45.5,2026-01-28,16:30:19,
42,FILE02,ID002,1,6.54,0.2575,5890,0.5,25.0,45.5,2026-01-28,15:40:09,
43,FILE02,ID003,1,6.457,0.2542,5890,0.5,25.0,45.5,2026-01-28,16:26:15,
44,FILE02,ID003,2,10.961,0.4315,5890,0.5,25.0,45.5,2026-01-28,12:44:25,
45,FILE02,ID003,3,8.733,0.3438,5890,0.5,25.0,45.5,2026-01-28,15:13:03,
46,FILE02,ID004,1,4.52,0.178,5890,0.5,25.0,45.5,2026-01-28,12:14:07,
47,FILE02,ID004,2,5.734,0.2257,5890,0.5,25.0,45.5,2026-01-28,11:28:59,
48,FILE02,ID005,1,4.701,0.1851,5890,0.5,25.0,45.5,2026-01-28,14:43:09,
49,FILE02,ID006,1,7.282,0.2867,5890,0.5,25.0,45.5,2026-01-28,10:24:23,
50,FILE02,ID006,2,6.496,0.2557,5890,0.5,25.0,45.5,2026-01-28,16:38:08,
51,FILE02,ID006,3,11.338,0.4464,5890,0.5,25.0,45.5,2026-01-28,08:01:40,
52,FILE02,ID007,1,8.251,0.3248,5890,0.5,25.0,45.5,2026-01-28,14:25:18,
53,FILE02,ID007,2,9.972,0.3926,5890,0.5,25.0,45.5,2026-01-28,11:30:31,
54,FILE02,ID007,3,11.814,0.4651,5890,0.5,25.0,45.5,2026-01-28,14:06:40,
55,FILE02,ID007,4,11.072,0.4359,5890,0.5,25.0,45.5,2026-01-28,09:28:46,
56,FILE02,ID008,1,6.198,0.244,5890,0.5,25.0,45.5,2026-01-28,12:27:53,
57,FILE02,ID008,2,6.115,0.2407,5890,0.5,25.0,45.5,2026-01-28,12:42:08,
58,FILE02,ID008,3,8.247,0.3247,5890,0.5,25.0,45.5,2026-01-28,13:04:53,
59,FILE02,ID009,1,11.906,0.4687,5890,0.5,25.0,45.5,2026-01-28,11:12:11,
60,FILE02,ID009,2,8.449,0.3326,5890,0.5,25.0,45.5,2026-01-28,09:39:29,
61,FILE02,ID009,3,9.143,0.36,5890,0.5,25.0,45.5,2026-01-28,08:38:04,
62,FILE02,ID009,4,5.957,0.2345,5890,0.5,25.0,45.5,2026-01-28,10:38:10,
63,FILE02,ID010,1,9.114,0.3588,5890,0.5,25.0,45.5,2026-01-28,10:20:07,
64,FILE02,ID010,2,7.213,0.284,5890,0.5,25.0,45.5,2026-01-28,12:56:08,
65,FILE02,ID011,1,10.439,0.411,5890,0.5,25.0,45.5,2026-01-28,14:53:04,
66,FILE02,ID011,2,8.097,0.3188,5890,0.5,25.0,45.5,2026-01-28,10:44:53,
67,FILE02,ID011,3,7.6,0.2992,5890,0.5,25.0,45.5,2026-01-28,10:15:13,
68,FILE02,ID011,4,9.985,0.3931,5890,0.5,25.0,45.5,2026-01-28,12:37:53,
69,FILE02,ID012,1,11.089,0.4366,5890,0.5,25.0,45.5,2026-01-28,09:34:47,
70,FILE02,ID012,2,8.059,0.3173,5890,0.5,25.0,45.5,2026-01-28,10:10:23,
71,FILE02,ID012,3,6.972,0.2745,5890,0.5,25.0,45.5,2026-01-28,14:40:41,
72,FILE02,ID012,4,9.134,0.3596,5890,0.5,25.0,45.5,2026-01-28,14:39:22,
73,FILE02,ID013,1,6.502,0.256,5890,0.5,25.0,45.5,2026-01-28,14:53:59,
74,FILE02,ID013,2,8.329,0.3279,5890,0.5,25.0,45.5,2026-01-28,14:28:31,
75,FILE02,ID014,1,7.098,0.2794,5890,0.5,25.0,45.5,2026-01-28,14:41:02,
76,FILE02,ID014,2,10.297,0.4054,5890,0.5,25.0,45.5,2026-01-28,16:03:54,
77,FILE02,ID014,3,8.378,0.3298,5890,0.5,25.0,45.5,2026-01-28,14:36:17,
78,FILE02,ID015,1,9.076,0.3573,5890,0.5,25.0,45.5,2026-01-28,16:12:41,
79,FILE02,ID015,2,4.686,0.1845,5890,0.5,25.0,45.5,2026-01-28,09:55:42,
80,FILE02,ID015,3,11.186,0.4404,5890,0.5,25.0,45.5,2026-01-28,10:53:48,
81,FILE02,ID015,4,7.954,0.3131,5890,0.5,25.0,45.5,2026-01-28,12:19:43,
82,FILE03,ID001,1,8.859,0.3488,5890,0.5,25.0,45.5,2026-01-28,15:53:34,
83,FILE03,ID001,2,10.864,0.4277,5890,0.5,25.0,45.5,2026-01-28,14:06:11,
84,FILE03,ID001,3,6.516,0.2565,5890,0.5,25.0,45.5,2026-01-28,11:25:04,
85,FILE03,ID001,4,10.358,0.4078,5890,0.5,25.0,45.5,2026-01-28,15:49:52,
86,FILE03,ID002,1,9.795,0.3856,5890,0.5,25.0,45.5,2026-01-28,11:52:35,
87,FILE03,ID002,2,7.341,0.289,5890,0.5,25.0,45.5,2026-01-28,16:27:40,
88,FILE03,ID003,1,8.833,0.3478,5890,0.5,25.0,45.5,2026-01-28,10:21:26,
89,FILE03,ID004,1,6.44,0.2535,5890,0.5,25.0,45.5,2026-01-28,12:45:22,
90,FILE03,ID004,2,9.712,0.3824,5890,0.5,25.0,45.5,2026-01-28,15:11:07,
91,FILE03,ID004,3,10.079,0.3968,5890,0.5,25.0,45.5,2026-01-28,12:44:23,
92,FILE03,ID004,4,6.719,0.2645,5890,0.5,25.0,45.5,2026-01-28,11:45:19,
93,FILE03,ID005,1,10.042,0.3954,5890,0.5,25.0,45.5,2026-01-28,16:18:41,
94,FILE03,ID005,2,9.242,0.3639,5890,0.5,25.0,45.5,2026-01-28,16:06:39,
95,FILE03,ID005,3,8.834,0.3478,5890,0.5,25.0,45.5,2026-01-28,11:31:52,
96,FILE03,ID006,1,10.933,0.4304,5890,0.5,25.0,45.5,2026-01-28,11:43:07,
97,FILE03,ID006,2,6.385,0.2514,5890,0.5,25.0,45.5,2026-01-28,16:14:12,
98,FILE03,ID006,3,10.158,0.3999,5890,0.5,25.0,45.5,2026-01-28,13:36:51,
99,FILE03,ID007,1,5.974,0.2352,5890,0.5,25.0,45.5,2026-01-28,15:13:37,
100,FILE03,ID007,2,11.501,0.4528,5890,0.5,25.0,45.5,2026-01-28,16:43:32,
101,FILE03,ID007,3,10.27,0.4043,5890,0.5,25.0,45.5,2026-01-28,16:01:26,
102,FILE03,ID007,4,7.668,0.3019,5890,0.5,25.0,45.5,2026-01-28,13:58:16,
103,FILE03,ID008,1,7.212,0.2839,5890,0.5,25.0,45.5,2026-01-28,09:33:07,
104,FILE03,ID009,1,5.438,0.2141,5890,0.5,25.0,45.5,2026-01-28,15:50:24,
105,FILE03,ID009,2,5.481,0.2158,5890,0.5,25.0,45.5,2026-01-28,10:35:58,
106,FILE03,ID009,3,5.301,0.2087,5890,0.5,25.0,45.5,2026-01-28,08:33:46,
107,FILE03,ID010,1,11.347,0.4467,5890,0.5,25.0,45.5,2026-01-28,10:29:15,
108,FILE03,ID010,2,11.315,0.4455,5890,0.5,25.0,45.5,2026-01-28,11:27:07,
109,FILE03,ID010,3,9.546,0.3758,5890,0.5,25.0,45.5,2026-01-28,14:04:04,
110,FILE03,ID010,4,8.472,0.3335,5890,0.5,25.0,45.5,2026-01-28,11:10:49,
111,FILE03,ID011,1,11.15,0.439,5890,0.5,25.0,45.5,2026-01-28,14:13:57,
112,FILE03,ID011,2,4.6,0.1811,5890,0.5,25.0,45.5,2026-01-28,12:53:05,
113,FILE03,ID012,1,9.802,0.3859,5890,0.5,25.0,45.5,2026-01-28,09:04:15,
114,FILE03,ID012,2,9.856,0.388,5890,0.5,25.0,45.5,2026-01-28,11:56:31,
115,FILE03,ID013,1,7.951,0.313,5890,0.5,25.0,45.5,2026-01-28,12:27:09,
116,FILE03,ID013,2,10.993,0.4328,5890,0.5,25.0,45.5,2026-01-28,08:17:40,
117,FILE03,ID014,1,5.685,0.2238,5890,0.5,25.0,45.5,2026-01-28,14:50:19,
118,FILE03,ID014,2,5.389,0.2122,5890,0.5,25.0,45.5,2026-01-28,14:21:37,
119,FILE03,ID014,3,9.242,0.3639,5890,0.5,25.0,45.5,2026-01-28,14:09:02,
120,FILE03,ID014,4,6.185,0.2435,5890,0.5,25.0,45.5,2026-01-28,09:11:31,
121,FILE03,ID015,1,8.967,0.353,5890,0.5,25.0,45.5,2026-01-28,12:55:48,
