Circuit_ID,CML,Component,NPS,Schedule,Nominal_mm,t_min_mm,Reading_1,Reading_2,Reading_3,Reading_4,Min_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service,Material
FW-101,014,Flange,2,80,3.91,1.96,3.25,3.36,,,3.25,3.38,2024-09-04,0.06,21.6,Good,Boiler Feedwater,A106 Gr.B
FW-101,015,Flange,4,80,6.02,3.01,5.26,5.29,,,5.26,5.49,2024-09-04,0.13,17.3,Fair,Boiler Feedwater,A106 Gr.B
FW-102,001,Straight,4,80,6.02,3.01,4.83,4.77,,,4.77,4.91,2024-11-29,0.06,29.3,Good,Boiler Feedwater,A106 Gr.B
FW-102,002,Flange,4,80,6.02,3.01,4.96,5.16,,,4.96,5.12,2024-11-29,0.1,19.5,Fair,Boiler Feedwater,A106 Gr.B
FW-102,003,Straight,2,80,3.91,1.96,3.05,3.14,,,3.05,3.25,2024-11-29,0.1,10.9,Fair,Boiler Feedwater,A106 Gr.B
FW-102,004,Weldolet,2,80,3.91,1.96,3.27,3.19,,,3.19,3.42,2024-11-29,0.14,8.8,ALERT,Boiler Feedwater,A106 Gr.B
FW-102,005,Control Valve,6,80,7.11,3.56,5.89,5.89,5.88,5.88,5.88,6.04,2024-11-29,0.09,25.8,Good,Boiler Feedwater,A106 Gr.B
FW-102,006,Flange,4,80,6.02,3.01,5.12,5.11,,,5.11,5.31,2024-11-29,0.11,19.1,Fair,Boiler Feedwater,A106 Gr.B
FW-102,007,45° Elbow,6,80,7.11,3.56,5.11,5.1,,,5.1,5.31,2024-11-29,0.1,15.4,Fair,Boiler Feedwater,A106 Gr.B
FW-102,008,Tee-Run,6,80,7.11,3.56,6.47,6.43,6.27,6.26,6.26,6.43,2024-11-29,0.08,33.8,Good,Boiler Feedwater,A106 Gr.B
FW-102,009,Control Valve,4,80,6.02,3.01,4.23,4.28,4.51,4.29,4.23,4.38,2024-11-29,0.07,17.4,Fair,Boiler Feedwater,A106 Gr.B
FW-102,010,Weldolet,2,80,3.91,1.96,3.41,3.56,,,3.41,3.5,2024-11-29,0.04,36.4,Good,Boiler Feedwater,A106 Gr.B
FW-102,011,Straight,3,80,5.49,2.75,4.74,4.8,,,4.74,4.98,2024-11-29,0.11,18.1,Fair,Boiler Feedwater,A106 Gr.B
FW-102,012,Reducer,4,80,6.02,3.01,5.04,5.15,,,5.04,5.13,2024-11-29,0.06,33.8,Good,Boiler Feedwater,A106 Gr.B
CW-201,001,Straight,3,80,5.49,2.75,4.28,4.49,,,4.28,4.48,2024-08-05,0.11,14.0,Fair,Cooling Water,A53 Gr.B
CW-201,002,45° Elbow,4,80,6.02,3.01,4.85,4.96,,,4.85,4.97,2024-08-05,0.07,26.3,Good,Cooling Water,A53 Gr.B
CW-201,003,Reducer,4,80,6.02,3.01,4.3,4.38,,,4.3,4.47,2024-08-05,0.07,18.4,Fair,Cooling Water,A53 Gr.B
CW-201,004,45° Elbow,8,40,8.18,4.09,6.3,6.45,,,6.3,6.5,2024-08-05,0.08,27.6,Good,Cooling Water,A53 Gr.B
CW-201,005,Straight,4,80,6.02,3.01,4.79,4.91,,,4.79,5.0,2024-08-05,0.11,16.2,Fair,Cooling Water,A53 Gr.B
CW-201,006,Weldolet,8,40,8.18,4.09,6.71,6.55,,,6.55,6.78,2024-08-05,0.1,24.6,Good,Cooling Water,A53 Gr.B
CW-201,007,Control Valve,6,80,7.11,3.56,5.33,5.41,5.23,5.16,5.16,5.35,2024-08-05,0.1,16.0,Fair,Cooling Water,A53 Gr.B
CW-201,008,Tee-Run,6,80,7.11,3.56,5.96,6.0,6.02,5.95,5.95,6.03,2024-08-05,0.04,59.9,Good,Cooling Water,A53 Gr.B
CW-201,009,Tee-Branch,3,80,5.49,2.75,3.62,3.72,3.76,3.69,3.62,3.77,2024-08-05,0.06,14.6,Fair,Cooling Water,A53 Gr.B
CW-201,010,Flange,2,80,3.91,1.96,3.38,3.44,,,3.38,3.51,2024-08-05,0.09,15.8,Fair,Cooling Water,A53 Gr.B
CW-201,011,Reducer,6,80,7.11,3.56,6.05,6.11,,,6.05,6.22,2024-08-05,0.11,22.7,Good,Cooling Water,A53 Gr.B
CW-201,012,Tee-Branch,6,80,7.11,3.56,5.98,5.81,5.92,5.9,5.81,5.99,2024-08-05,0.08,28.2,Good,Cooling Water,A53 Gr.B
CW-201,013,90° Elbow,4,80,6.02,3.01,5.23,5.28,5.28,5.17,5.17,5.26,2024-08-05,0.04,54.0,Good,Cooling Water,A53 Gr.B
CW-201,014,Control Valve,6,80,7.11,3.56,5.72,5.85,5.62,5.74,5.62,5.86,2024-08-05,0.1,20.6,Good,Cooling Water,A53 Gr.B
CW-201,015,Reducer,2,80,3.91,1.96,3.34,3.34,,,3.34,3.5,2024-08-05,0.09,15.4,Fair,Cooling Water,A53 Gr.B
CW-201,016,Tee-Run,6,80,7.11,3.56,5.87,5.72,5.78,5.81,5.72,5.95,2024-08-05,0.15,14.4,Fair,Cooling Water,A53 Gr.B
CW-201,017,45° Elbow,4,80,6.02,3.01,4.79,4.76,,,4.76,4.97,2024-08-05,0.09,19.4,Fair,Cooling Water,A53 Gr.B
CW-201,018,Tee-Branch,3,80,5.49,2.75,4.69,4.61,4.58,4.64,4.58,4.7,2024-08-05,0.07,26.2,Good,Cooling Water,A53 Gr.B
CW-201,019,Flange,2,80,3.91,1.96,3.35,3.28,,,3.28,3.5,2024-08-05,0.1,13.2,Fair,Cooling Water,A53 Gr.B
CW-201,020,Flange,6,80,7.11,3.56,6.11,6.17,,,6.11,6.23,2024-08-05,0.07,36.5,Good,Cooling Water,A53 Gr.B
CW-202,001,Tee-Run,4,80,6.02,3.01,5.34,5.34,5.24,5.36,5.24,5.38,2025-01-18,0.08,27.9,Good,Cooling Water Return,A53 Gr.B
CW-202,002,90° Elbow,6,80,7.11,3.56,5.92,5.91,6.03,5.91,5.91,6.04,2025-01-18,0.07,33.6,Good,Cooling Water Return,A53 Gr.B
CW-202,003,Weldolet,6,80,7.11,3.56,5.89,5.74,,,5.74,5.88,2025-01-18,0.07,31.2,Good,Cooling Water Return,A53 Gr.B
CW-202,004,Straight,8,40,8.18,4.09,6.39,6.41,,,6.39,6.6,2025-01-18,0.1,23.0,Good,Cooling Water Return,A53 Gr.B
CW-202,005,45° Elbow,6,80,7.11,3.56,5.66,5.68,,,5.66,5.9,2025-01-18,0.11,19.1,Fair,Cooling Water Return,A53 Gr.B
CW-202,006,Control Valve,4,80,6.02,3.01,5.04,4.99,4.95,4.89,4.89,5.12,2025-01-18,0.11,17.1,Fair,Cooling Water Return,A53 Gr.B
CW-202,007,90° Elbow,4,80,6.02,3.01,5.11,4.96,5.09,5.07,4.96,5.11,2025-01-18,0.08,24.4,Good,Cooling Water Return,A53 Gr.B
CW-202,008,Straight,6,80,7.11,3.56,5.99,5.77,,,5.77,5.91,2025-01-18,0.06,36.9,Good,Cooling Water Return,A53 Gr.B
CW-202,009,90° Elbow,4,80,6.02,3.01,5.21,5.35,5.39,5.22,5.21,5.45,2025-01-18,0.12,18.3,Fair,Cooling Water Return,A53 Gr.B
CW-202,010,45° Elbow,6,80,7.11,3.56,6.28,6.06,,,6.06,6.18,2025-01-18,0.05,50.1,Good,Cooling Water Return,A53 Gr.B
CW-202,011,Flange,6,80,7.11,3.56,6.32,6.27,,,6.27,6.51,2025-01-18,0.11,24.7,Good,Cooling Water Return,A53 Gr.B
CW-202,012,Tee-Branch,3,80,5.49,2.75,4.23,4.32,4.31,4.25,4.23,4.31,2025-01-18,0.03,49.5,Good,Cooling Water Return,A53 Gr.B
CW-202,013,Tee-Branch,2,80,3.91,1.96,3.42,3.18,3.44,3.42,3.18,3.28,2025-01-18,0.05,24.5,Good,Cooling Water Return,A53 Gr.B
CW-202,014,Control Valve,2,80,3.91,1.96,3.24,3.13,3.11,3.14,3.11,3.2,2025-01-18,0.06,19.2,Fair,Cooling Water Return,A53 Gr.B
CW-202,015,Weldolet,6,80,7.11,3.56,6.17,6.15,,,6.15,6.27,2025-01-18,0.07,37.1,Good,Cooling Water Return,A53 Gr.B
CW-202,016,Tee-Run,4,80,6.02,3.01,5.01,4.92,5.01,4.83,4.83,4.92,2025-01-18,0.06,30.3,Good,Cooling Water Return,A53 Gr.B
CW-202,017,Reducer,6,80,7.11,3.56,5.83,5.96,,,5.83,5.95,2025-01-18,0.07,32.5,Good,Cooling Water Return,A53 Gr.B
CW-202,018,Straight,8,40,8.18,4.09,6.78,6.81,,,6.78,6.95,2025-01-18,0.09,29.9,Good,Cooling Water Return,A53 Gr.B
HC-301,001,Tee-Run,6,80,7.11,3.56,5.87,5.81,6.03,5.86,5.81,5.95,2024-09-22,0.06,37.6,Good,Hydrocarbon Process,A106 Gr.B
HC-301,002,Tee-Branch,4,80,6.02,3.01,4.9,4.76,4.88,4.79,4.76,4.97,2024-09-22,0.09,19.4,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,003,Tee-Branch,4,80,6.02,3.01,4.83,4.7,4.56,4.66,4.56,4.75,2024-09-22,0.09,17.2,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,004,Tee-Branch,4,80,6.02,3.01,4.9,4.74,4.79,4.74,4.74,4.93,2024-09-22,0.12,14.4,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,005,Tee-Run,4,80,6.02,3.01,4.4,4.6,4.65,4.56,4.4,4.65,2024-09-22,0.12,11.6,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,006,Weldolet,4,80,6.02,3.01,4.85,4.76,,,4.76,4.91,2024-09-22,0.09,19.4,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,007,Straight,8,40,8.18,4.09,6.07,5.95,,,5.95,6.04,2024-09-22,0.05,37.2,Good,Hydrocarbon Process,A106 Gr.B
HC-301,008,45° Elbow,6,80,7.11,3.56,5.73,5.78,,,5.73,5.96,2024-09-22,0.12,18.1,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,009,Control Valve,4,80,6.02,3.01,4.02,4.09,4.12,4.19,4.02,4.27,2024-09-22,0.15,6.7,ALERT,Hydrocarbon Process,A106 Gr.B
HC-301,010,Weldolet,3,80,5.49,2.75,4.49,4.46,,,4.46,4.62,2024-09-22,0.08,21.4,Good,Hydrocarbon Process,A106 Gr.B
HC-301,011,Control Valve,4,80,6.02,3.01,4.9,4.86,4.96,4.93,4.86,5.05,2024-09-22,0.13,14.2,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,012,Flange,6,80,7.11,3.56,5.8,5.61,,,5.61,5.73,2024-09-22,0.06,34.3,Good,Hydrocarbon Process,A106 Gr.B
HC-301,013,45° Elbow,3,80,5.49,2.75,4.13,4.4,,,4.13,4.28,2024-09-22,0.1,13.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,014,90° Elbow,6,80,7.11,3.56,5.7,5.74,5.52,5.59,5.52,5.61,2024-09-22,0.05,39.3,Good,Hydrocarbon Process,A106 Gr.B
HC-301,015,Straight,3,80,5.49,2.75,4.25,4.3,,,4.25,4.38,2024-09-22,0.08,18.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,016,90° Elbow,4,80,6.02,3.01,4.66,4.92,4.78,4.78,4.66,4.83,2024-09-22,0.09,18.3,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,017,Weldolet,6,80,7.11,3.56,5.54,5.46,,,5.46,5.64,2024-09-22,0.1,19.0,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,018,Tee-Branch,6,80,7.11,3.56,5.31,5.31,5.32,5.37,5.31,5.49,2024-09-22,0.1,17.5,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,019,Straight,8,40,8.18,4.09,6.25,6.39,,,6.25,6.38,2024-09-22,0.06,36.0,Good,Hydrocarbon Process,A106 Gr.B
HC-301,020,90° Elbow,4,80,6.02,3.01,5.04,4.84,5.0,4.96,4.84,5.06,2024-09-22,0.1,18.3,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,021,Flange,3,80,5.49,2.75,4.44,4.36,,,4.36,4.48,2024-09-22,0.05,32.3,Good,Hydrocarbon Process,A106 Gr.B
HC-301,022,90° Elbow,8,40,8.18,4.09,6.47,6.57,6.75,6.73,6.47,6.65,2024-09-22,0.09,26.4,Good,Hydrocarbon Process,A106 Gr.B
HC-301,023,90° Elbow,2,80,3.91,1.96,3.14,3.18,3.18,3.18,3.14,3.25,2024-09-22,0.06,19.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-301,024,Weldolet,2,80,3.91,1.96,3.0,3.14,,,3.0,3.1,2024-09-22,0.05,20.9,Good,Hydrocarbon Process,A106 Gr.B
HC-301,025,Straight,6,80,7.11,3.56,5.88,5.93,,,5.88,6.07,2024-09-22,0.08,29.1,Good,Hydrocarbon Process,A106 Gr.B
HC-302,001,Weldolet,6,80,7.11,3.56,5.58,5.33,,,5.33,5.57,2024-12-17,0.15,11.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,002,Straight,6,80,7.11,3.56,5.71,5.84,,,5.71,5.9,2024-12-17,0.13,16.6,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,003,Weldolet,4,80,6.02,3.01,4.4,4.16,,,4.16,4.38,2024-12-17,0.11,10.5,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,004,Weldolet,3,80,5.49,2.75,4.41,4.37,,,4.37,4.55,2024-12-17,0.09,18.1,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,005,Reducer,3,80,5.49,2.75,4.17,4.11,,,4.11,4.3,2024-12-17,0.12,11.4,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,006,Control Valve,6,80,7.11,3.56,5.59,5.61,5.69,5.75,5.59,5.79,2024-12-17,0.12,17.0,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,007,90° Elbow,3,80,5.49,2.75,3.57,3.59,3.72,3.7,3.57,3.76,2024-12-17,0.11,7.5,ALERT,Hydrocarbon Process,A106 Gr.B
HC-302,008,Tee-Branch,6,80,7.11,3.56,5.92,5.78,5.86,5.85,5.78,5.94,2024-12-17,0.08,27.8,Good,Hydrocarbon Process,A106 Gr.B
HC-302,009,Straight,6,80,7.11,3.56,5.25,5.37,,,5.25,5.48,2024-12-17,0.14,12.1,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,010,Tee-Run,6,80,7.11,3.56,5.53,5.66,5.64,5.41,5.41,5.61,2024-12-17,0.1,18.5,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,011,Tee-Run,6,80,7.11,3.56,6.11,5.95,6.04,5.98,5.95,6.14,2024-12-17,0.12,20.0,Good,Hydrocarbon Process,A106 Gr.B
HC-302,012,Tee-Branch,3,80,5.49,2.75,4.43,4.43,4.17,4.33,4.17,4.29,2024-12-17,0.05,28.5,Good,Hydrocarbon Process,A106 Gr.B
HC-302,013,Flange,6,80,7.11,3.56,5.4,5.59,,,5.4,5.55,2024-12-17,0.08,23.1,Good,Hydrocarbon Process,A106 Gr.B
HC-302,014,45° Elbow,8,40,8.18,4.09,6.43,6.56,,,6.43,6.53,2024-12-17,0.05,46.8,Good,Hydrocarbon Process,A106 Gr.B
HC-302,015,Tee-Run,6,80,7.11,3.56,5.87,5.81,5.77,5.64,5.64,5.86,2024-12-17,0.1,20.8,Good,Hydrocarbon Process,A106 Gr.B
HC-302,016,90° Elbow,4,80,6.02,3.01,5.09,5.06,5.13,4.99,4.99,5.2,2024-12-17,0.1,19.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,017,Tee-Branch,8,40,8.18,4.09,6.65,6.81,6.72,6.71,6.65,6.79,2024-12-17,0.08,32.0,Good,Hydrocarbon Process,A106 Gr.B
HC-302,018,90° Elbow,6,80,7.11,3.56,5.66,5.71,5.54,5.62,5.54,5.77,2024-12-17,0.1,19.8,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,019,Tee-Branch,4,80,6.02,3.01,5.08,5.09,5.17,5.14,5.08,5.28,2024-12-17,0.12,17.3,Fair,Hydrocarbon Process,A106 Gr.B
HC-302,020,Control Valve,4,80,6.02,3.01,5.1,5.16,4.99,5.17,4.99,5.08,2024-12-17,0.04,49.5,Good,Hydrocarbon Process,A106 Gr.B
HC-302,021,90° Elbow,4,80,6.02,3.01,5.06,4.86,5.06,5.08,4.86,4.98,2024-12-17,0.05,37.0,Good,Hydrocarbon Process,A106 Gr.B
HC-302,022,Tee-Run,8,40,8.18,4.09,6.86,6.88,6.88,6.97,6.86,6.99,2024-12-17,0.06,46.2,Good,Hydrocarbon Process,A106 Gr.B
ST-401,001,Weldolet,4,80,6.02,3.01,5.07,5.25,,,5.07,5.15,2024-08-09,0.03,68.7,Good,Steam Supply,A106 Gr.B
ST-401,002,Tee-Branch,6,80,7.11,3.56,6.08,6.05,6.18,6.15,6.05,6.28,2024-08-09,0.1,24.9,Good,Steam Supply,A106 Gr.B
ST-401,003,Flange,2,80,3.91,1.96,3.51,3.56,,,3.51,3.74,2024-08-09,0.12,13.0,Fair,Steam Supply,A106 Gr.B
ST-401,004,45° Elbow,6,80,7.11,3.56,6.16,6.38,,,6.16,6.27,2024-08-09,0.07,37.2,Good,Steam Supply,A106 Gr.B
ST-401,005,Straight,4,80,6.02,3.01,5.3,5.21,,,5.21,5.3,2024-08-09,0.04,55.0,Good,Steam Supply,A106 Gr.B
ST-401,006,45° Elbow,6,80,7.11,3.56,6.74,6.79,,,6.74,6.94,2024-08-09,0.1,31.8,Good,Steam Supply,A106 Gr.B
ST-401,007,Weldolet,2,80,3.91,1.96,3.35,3.3,,,3.3,3.44,2024-08-09,0.06,22.4,Good,Steam Supply,A106 Gr.B
ST-401,008,Straight,4,80,6.02,3.01,5.75,5.63,,,5.63,5.79,2024-08-09,0.09,29.1,Good,Steam Supply,A106 Gr.B
ST-401,009,Flange,6,80,7.11,3.56,6.15,6.35,,,6.15,6.35,2024-08-09,0.11,23.6,Good,Steam Supply,A106 Gr.B
ST-401,010,45° Elbow,4,80,6.02,3.01,5.12,5.21,,,5.12,5.24,2024-08-09,0.06,35.2,Good,Steam Supply,A106 Gr.B
ST-402,001,Straight,2,80,3.91,1.96,3.35,3.48,,,3.35,3.59,2024-10-19,0.13,10.7,Fair,Steam Condensate,A106 Gr.B
ST-402,002,Weldolet,6,80,7.11,3.56,5.63,5.47,,,5.47,5.59,2024-10-19,0.05,38.3,Good,Steam Condensate,A106 Gr.B
ST-402,003,Flange,6,80,7.11,3.56,4.7,4.9,,,4.7,4.94,2024-10-19,0.11,10.4,Fair,Steam Condensate,A106 Gr.B
ST-402,004,Straight,8,40,8.18,4.09,6.59,6.75,,,6.59,6.84,2024-10-19,0.12,20.8,Good,Steam Condensate,A106 Gr.B
ST-402,005,Tee-Run,6,80,7.11,3.56,5.81,5.65,5.71,5.7,5.65,5.88,2024-10-19,0.14,15.0,Fair,Steam Condensate,A106 Gr.B
ST-402,006,Reducer,3,80,5.49,2.75,4.59,4.56,,,4.56,4.75,2024-10-19,0.09,20.2,Good,Steam Condensate,A106 Gr.B
ST-402,007,Control Valve,4,80,6.02,3.01,3.81,3.97,3.88,4.0,3.81,3.9,2024-10-19,0.04,20.0,Good,Steam Condensate,A106 Gr.B
ST-402,008,Control Valve,2,80,3.91,1.96,3.26,3.28,3.3,3.3,3.26,3.44,2024-10-19,0.1,13.0,Fair,Steam Condensate,A106 Gr.B
ST-402,009,Reducer,4,80,6.02,3.01,4.33,4.53,,,4.33,4.46,2024-10-19,0.06,22.0,Good,Steam Condensate,A106 Gr.B
ST-402,010,Straight,4,80,6.02,3.01,4.67,4.76,,,4.67,4.84,2024-10-19,0.08,20.8,Good,Steam Condensate,A106 Gr.B
ST-402,011,Reducer,3,80,5.49,2.75,4.64,4.44,,,4.44,4.55,2024-10-19,0.07,24.2,Good,Steam Condensate,A106 Gr.B
ST-402,012,Control Valve,6,80,7.11,3.56,5.94,5.8,6.02,6.03,5.8,5.93,2024-10-19,0.07,32.1,Good,Steam Condensate,A106 Gr.B
ST-402,013,Weldolet,6,80,7.11,3.56,5.63,5.49,,,5.49,5.66,2024-10-19,0.08,24.2,Good,Steam Condensate,A106 Gr.B
ST-402,014,90° Elbow,6,80,7.11,3.56,6.11,5.99,5.92,5.93,5.92,6.06,2024-10-19,0.08,29.6,Good,Steam Condensate,A106 Gr.B
AC-501,001,90° Elbow,8,40,8.18,4.09,7.21,6.99,7.02,7.02,6.99,7.21,2024-08-26,0.09,32.2,Good,Acid Service,316L SS
AC-501,002,45° Elbow,8,40,8.18,4.09,7.24,7.0,,,7.0,7.19,2024-08-26,0.12,24.3,Good,Acid Service,316L SS
AC-501,003,Straight,4,80,6.02,3.01,4.72,4.67,,,4.67,4.92,2024-08-26,0.12,13.8,Fair,Acid Service,316L SS
AC-501,004,45° Elbow,6,80,7.11,3.56,6.15,6.35,,,6.15,6.35,2024-08-26,0.11,23.6,Good,Acid Service,316L SS
AC-501,005,Control Valve,4,80,6.02,3.01,5.34,5.31,5.57,5.51,5.31,5.53,2024-08-26,0.13,17.7,Fair,Acid Service,316L SS
AC-501,006,90° Elbow,4,80,6.02,3.01,5.48,5.24,5.4,5.31,5.24,5.46,2024-08-26,0.1,22.3,Good,Acid Service,316L SS
AC-501,007,45° Elbow,4,80,6.02,3.01,4.36,4.31,,,4.31,4.4,2024-08-26,0.04,32.5,Good,Acid Service,316L SS
AC-501,008,Tee-Branch,6,80,7.11,3.56,5.88,5.75,5.7,5.82,5.7,5.89,2024-08-26,0.12,17.9,Fair,Acid Service,316L SS
CA-601,001,Tee-Run,6,80,7.11,3.56,5.81,5.78,5.62,5.65,5.62,5.76,2024-05-16,0.07,29.5,Good,Caustic Service,A106 Gr.B
CA-601,002,Control Valve,2,80,3.91,1.96,3.29,3.24,3.36,3.15,3.15,3.25,2024-05-16,0.06,19.9,Fair,Caustic Service,A106 Gr.B
CA-601,003,Weldolet,6,80,7.11,3.56,5.21,5.34,,,5.21,5.3,2024-05-16,0.04,41.4,Good,Caustic Service,A106 Gr.B
CA-601,004,Tee-Branch,6,80,7.11,3.56,5.77,5.81,5.6,5.8,5.6,5.79,2024-05-16,0.1,20.4,Good,Caustic Service,A106 Gr.B
CA-601,005,Straight,4,80,6.02,3.01,5.02,4.91,,,4.91,5.12,2024-05-16,0.09,21.1,Good,Caustic Service,A106 Gr.B
CA-601,006,Control Valve,4,80,6.02,3.01,4.91,4.99,4.85,4.74,4.74,4.88,2024-05-16,0.07,24.7,Good,Caustic Service,A106 Gr.B
CA-601,007,90° Elbow,4,80,6.02,3.01,3.87,4.08,3.87,3.82,3.82,3.93,2024-05-16,0.05,16.2,Fair,Caustic Service,A106 Gr.B
CA-601,008,Control Valve,6,80,7.11,3.56,6.14,6.04,6.09,6.19,6.04,6.22,2024-05-16,0.09,27.6,Good,Caustic Service,A106 Gr.B
CA-601,009,90° Elbow,2,80,3.91,1.96,3.08,2.88,3.07,2.9,2.88,3.08,2024-05-16,0.12,7.7,ALERT,Caustic Service,A106 Gr.B
CA-601,010,Tee-Branch,2,80,3.91,1.96,3.25,3.37,3.43,3.5,3.25,3.4,2024-05-16,0.1,12.9,Fair,Caustic Service,A106 Gr.B
CA-601,011,90° Elbow,6,80,7.11,3.56,5.81,5.98,6.01,6.03,5.81,5.9,2024-05-16,0.04,56.4,Good,Caustic Service,A106 Gr.B
CA-601,012,90° Elbow,8,40,8.18,4.09,6.89,6.69,6.86,6.84,6.69,6.87,2024-05-16,0.11,23.6,Good,Caustic Service,A106 Gr.B
