Vessel_ID,Zone,CML,Orientation,Elevation,Nominal_mm,t_min_mm,Reading_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service
V-101,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.35,10.5,2022-04-15,0.08,59.7,Good,Amine Contactor
V-102,TOP_HEAD,TO-C,Center,-,19.05,9.53,18.59,18.82,2022-04-15,0.12,75.5,Good,Amine Regenerator
V-102,TOP_HEAD,TO-N,N,-,19.05,9.53,18.43,18.59,2022-04-15,0.08,111.2,Good,Amine Regenerator
V-102,TOP_HEAD,TO-E,E,-,19.05,9.53,18.22,18.46,2022-04-15,0.12,72.4,Good,Amine Regenerator
V-102,TOP_HEAD,TO-S,S,-,19.05,9.53,18.25,18.55,2022-04-15,0.15,58.1,Good,Amine Regenerator
V-102,TOP_HEAD,TO-W,W,-,19.05,9.53,18.08,18.37,2022-04-15,0.15,57.0,Good,Amine Regenerator
V-102,BTM_HEAD,BT-C,Center,-,19.05,9.53,16.49,16.77,2022-04-15,0.14,49.7,Fair,Amine Regenerator
V-102,BTM_HEAD,BT-N,N,-,19.05,9.53,17.32,17.65,2022-04-15,0.16,48.7,Fair,Amine Regenerator
V-102,BTM_HEAD,BT-E,E,-,19.05,9.53,17.38,17.68,2022-04-15,0.15,52.3,Good,Amine Regenerator
V-102,BTM_HEAD,BT-S,S,-,19.05,9.53,16.93,17.09,2022-04-15,0.08,92.5,Good,Amine Regenerator
V-102,BTM_HEAD,BT-W,W,-,19.05,9.53,16.67,16.88,2022-04-15,0.1,71.4,Good,Amine Regenerator
V-102,SHELL_1,SC1-N,N,Mid,25.4,12.7,24.13,24.37,2022-04-15,0.12,95.2,Good,Amine Regenerator
V-102,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.56,24.95,2022-04-15,0.2,59.3,Good,Amine Regenerator
V-102,SHELL_1,SC1-E,E,Mid,25.4,12.7,23.81,24.15,2022-04-15,0.17,65.4,Good,Amine Regenerator
V-102,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,25.1,25.3,2022-04-15,0.1,124.0,Good,Amine Regenerator
V-102,SHELL_1,SC1-S,S,Mid,25.4,12.7,25.1,25.3,2022-04-15,0.1,124.0,Good,Amine Regenerator
V-102,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,24.22,24.46,2022-04-15,0.12,96.0,Good,Amine Regenerator
V-102,SHELL_1,SC1-W,W,Mid,25.4,12.7,24.72,24.93,2022-04-15,0.11,109.3,Good,Amine Regenerator
V-102,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,23.98,24.32,2022-04-15,0.17,66.4,Good,Amine Regenerator
V-102,SHELL_2,SC2-N,N,Mid,25.4,12.7,23.1,23.43,2022-04-15,0.16,65.0,Good,Amine Regenerator
V-102,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.17,22.48,2022-04-15,0.15,63.1,Good,Amine Regenerator
V-102,SHELL_2,SC2-E,E,Mid,25.4,12.7,22.56,22.89,2022-04-15,0.17,58.0,Good,Amine Regenerator
V-102,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,23.07,23.44,2022-04-15,0.19,54.6,Good,Amine Regenerator
V-102,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.42,23.75,2022-04-15,0.16,67.0,Good,Amine Regenerator
V-102,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,22.67,22.9,2022-04-15,0.11,90.6,Good,Amine Regenerator
V-102,SHELL_2,SC2-W,W,Mid,25.4,12.7,23.39,23.64,2022-04-15,0.12,89.1,Good,Amine Regenerator
V-102,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.48,22.87,2022-04-15,0.2,48.9,Fair,Amine Regenerator
V-102,SHELL_3,SC3-N,N,Mid,25.4,12.7,24.94,25.13,2022-04-15,0.09,136.0,Good,Amine Regenerator
V-102,SHELL_3,SC3-NE,NE,Mid,25.4,12.7,23.85,24.09,2022-04-15,0.12,92.9,Good,Amine Regenerator
V-102,SHELL_3,SC3-E,E,Mid,25.4,12.7,23.98,24.36,2022-04-15,0.19,59.4,Good,Amine Regenerator
V-102,SHELL_3,SC3-SE,SE,Mid,25.4,12.7,24.25,24.49,2022-04-15,0.12,96.3,Good,Amine Regenerator
V-102,SHELL_3,SC3-S,S,Mid,25.4,12.7,24.19,24.39,2022-04-15,0.1,114.9,Good,Amine Regenerator
V-102,SHELL_3,SC3-SW,SW,Mid,25.4,12.7,24.18,24.41,2022-04-15,0.12,95.7,Good,Amine Regenerator
V-102,SHELL_3,SC3-W,W,Mid,25.4,12.7,24.82,25.15,2022-04-15,0.16,75.8,Good,Amine Regenerator
V-102,SHELL_3,SC3-NW,NW,Mid,25.4,12.7,24.09,24.39,2022-04-15,0.15,75.9,Good,Amine Regenerator
V-102,SHELL_4,SC4-N,N,Mid,25.4,12.7,23.95,24.31,2022-04-15,0.18,62.5,Good,Amine Regenerator
V-102,SHELL_4,SC4-NE,NE,Mid,25.4,12.7,23.85,24.19,2022-04-15,0.17,65.6,Good,Amine Regenerator
V-102,SHELL_4,SC4-E,E,Mid,25.4,12.7,25.09,25.32,2022-04-15,0.12,103.3,Good,Amine Regenerator
V-102,SHELL_4,SC4-SE,SE,Mid,25.4,12.7,24.6,24.9,2022-04-15,0.15,79.3,Good,Amine Regenerator
V-102,SHELL_4,SC4-S,S,Mid,25.4,12.7,24.65,24.92,2022-04-15,0.14,85.4,Good,Amine Regenerator
V-102,SHELL_4,SC4-SW,SW,Mid,25.4,12.7,24.15,24.54,2022-04-15,0.2,57.2,Good,Amine Regenerator
V-102,SHELL_4,SC4-W,W,Mid,25.4,12.7,25.02,25.31,2022-04-15,0.14,88.0,Good,Amine Regenerator
V-102,SHELL_4,SC4-NW,NW,Mid,25.4,12.7,24.69,24.89,2022-04-15,0.1,119.9,Good,Amine Regenerator
V-102,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.86,11.07,2022-04-15,0.11,48.1,Good,Amine Regenerator
V-102,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.7,10.92,2022-04-15,0.11,46.6,Good,Amine Regenerator
V-102,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.28,10.51,2022-04-15,0.12,39.2,Good,Amine Regenerator
V-102,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.48,10.64,2022-04-15,0.08,61.4,Good,Amine Regenerator
V-201,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.7,17.92,2022-04-15,0.11,74.3,Good,Flash Drum
V-201,TOP_HEAD,TO-N,N,-,19.05,9.53,18.39,18.67,2022-04-15,0.14,63.3,Good,Flash Drum
V-201,TOP_HEAD,TO-E,E,-,19.05,9.53,18.26,18.57,2022-04-15,0.15,58.2,Good,Flash Drum
V-201,TOP_HEAD,TO-S,S,-,19.05,9.53,18.05,18.37,2022-04-15,0.16,53.3,Good,Flash Drum
V-201,TOP_HEAD,TO-W,W,-,19.05,9.53,18.38,18.7,2022-04-15,0.16,55.3,Good,Flash Drum
V-201,BTM_HEAD,BT-C,Center,-,19.05,9.53,16.88,17.05,2022-04-15,0.09,81.7,Good,Flash Drum
V-201,BTM_HEAD,BT-N,N,-,19.05,9.53,17.02,17.24,2022-04-15,0.11,68.1,Good,Flash Drum
V-201,BTM_HEAD,BT-E,E,-,19.05,9.53,16.94,17.22,2022-04-15,0.14,52.9,Good,Flash Drum
V-201,BTM_HEAD,BT-S,S,-,19.05,9.53,17.3,17.52,2022-04-15,0.11,70.6,Good,Flash Drum
V-201,BTM_HEAD,BT-W,W,-,19.05,9.53,16.95,17.19,2022-04-15,0.12,61.8,Good,Flash Drum
V-201,SHELL_1,SC1-N,N,Mid,25.4,12.7,25.03,25.32,2022-04-15,0.14,88.1,Good,Flash Drum
V-201,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.28,24.54,2022-04-15,0.13,89.1,Good,Flash Drum
V-201,SHELL_1,SC1-E,E,Mid,25.4,12.7,24.2,24.52,2022-04-15,0.16,71.9,Good,Flash Drum
V-201,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,24.03,24.28,2022-04-15,0.12,94.4,Good,Flash Drum
V-201,SHELL_1,SC1-S,S,Mid,25.4,12.7,23.85,24.15,2022-04-15,0.15,74.3,Good,Flash Drum
V-201,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,25.09,25.27,2022-04-15,0.09,137.7,Good,Flash Drum
V-201,SHELL_1,SC1-W,W,Mid,25.4,12.7,25.03,25.39,2022-04-15,0.18,68.5,Good,Flash Drum
V-201,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,23.74,24.05,2022-04-15,0.16,69.0,Good,Flash Drum
V-201,SHELL_2,SC2-N,N,Mid,25.4,12.7,22.35,22.66,2022-04-15,0.15,64.3,Good,Flash Drum
V-201,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.45,22.84,2022-04-15,0.2,48.8,Fair,Flash Drum
V-201,SHELL_2,SC2-E,E,Mid,25.4,12.7,22.38,22.76,2022-04-15,0.19,50.9,Good,Flash Drum
V-201,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.52,22.84,2022-04-15,0.16,61.4,Good,Flash Drum
V-201,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.37,23.61,2022-04-15,0.12,88.9,Good,Flash Drum
V-201,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,23.54,23.75,2022-04-15,0.11,98.5,Good,Flash Drum
V-201,SHELL_2,SC2-W,W,Mid,25.4,12.7,22.12,22.34,2022-04-15,0.11,85.6,Good,Flash Drum
V-201,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.49,22.83,2022-04-15,0.17,57.6,Good,Flash Drum
V-201,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.27,10.4,2022-04-15,0.07,67.1,Good,Flash Drum
V-201,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.56,10.8,2022-04-15,0.12,41.6,Good,Flash Drum
V-201,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.32,10.57,2022-04-15,0.12,39.6,Good,Flash Drum
V-201,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.81,10.91,2022-04-15,0.05,104.8,Good,Flash Drum
V-202,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.99,18.25,2022-04-15,0.13,65.1,Good,Surge Drum
V-202,TOP_HEAD,TO-N,N,-,19.05,9.53,18.51,18.76,2022-04-15,0.12,74.8,Good,Surge Drum
V-202,TOP_HEAD,TO-E,E,-,19.05,9.53,18.23,18.44,2022-04-15,0.11,79.1,Good,Surge Drum
V-202,TOP_HEAD,TO-S,S,-,19.05,9.53,17.68,18.01,2022-04-15,0.17,47.9,Fair,Surge Drum
V-202,TOP_HEAD,TO-W,W,-,19.05,9.53,17.84,18.15,2022-04-15,0.15,55.4,Good,Surge Drum
V-202,BTM_HEAD,BT-C,Center,-,19.05,9.53,17.03,17.23,2022-04-15,0.1,75.0,Good,Surge Drum
V-202,BTM_HEAD,BT-N,N,-,19.05,9.53,16.51,16.8,2022-04-15,0.14,49.9,Fair,Surge Drum
V-202,BTM_HEAD,BT-E,E,-,19.05,9.53,17.6,17.85,2022-04-15,0.12,67.3,Good,Surge Drum
V-202,BTM_HEAD,BT-S,S,-,19.05,9.53,16.76,17.03,2022-04-15,0.13,55.6,Good,Surge Drum
V-202,BTM_HEAD,BT-W,W,-,19.05,9.53,17.61,17.89,2022-04-15,0.14,57.7,Good,Surge Drum
V-202,SHELL_1,SC1-N,N,Mid,25.4,12.7,24.66,24.96,2022-04-15,0.15,79.7,Good,Surge Drum
V-202,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.9,25.09,2022-04-15,0.1,122.0,Good,Surge Drum
V-202,SHELL_1,SC1-E,E,Mid,25.4,12.7,24.66,24.88,2022-04-15,0.11,108.7,Good,Surge Drum
V-202,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,24.41,24.74,2022-04-15,0.16,73.2,Good,Surge Drum
V-202,SHELL_1,SC1-S,S,Mid,25.4,12.7,23.93,24.27,2022-04-15,0.17,66.1,Good,Surge Drum
V-202,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,25.13,25.37,2022-04-15,0.12,103.6,Good,Surge Drum
V-202,SHELL_1,SC1-W,W,Mid,25.4,12.7,24.34,24.57,2022-04-15,0.12,97.0,Good,Surge Drum
V-202,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,24.08,24.46,2022-04-15,0.19,59.9,Good,Surge Drum
V-202,SHELL_2,SC2-N,N,Mid,25.4,12.7,23.26,23.59,2022-04-15,0.16,66.0,Good,Surge Drum
V-202,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.67,22.9,2022-04-15,0.11,90.6,Good,Surge Drum
V-202,SHELL_2,SC2-E,E,Mid,25.4,12.7,23.37,23.55,2022-04-15,0.09,118.6,Good,Surge Drum
V-202,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.83,23.08,2022-04-15,0.12,84.4,Good,Surge Drum
V-202,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.03,23.28,2022-04-15,0.12,86.1,Good,Surge Drum
V-202,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,22.59,22.93,2022-04-15,0.17,58.2,Good,Surge Drum
V-202,SHELL_2,SC2-W,W,Mid,25.4,12.7,22.65,22.95,2022-04-15,0.15,66.3,Good,Surge Drum
V-202,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.56,22.92,2022-04-15,0.18,54.8,Good,Surge Drum
V-202,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.73,10.94,2022-04-15,0.1,51.6,Good,Surge Drum
V-202,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.4,10.63,2022-04-15,0.12,40.2,Good,Surge Drum
V-202,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.56,10.79,2022-04-15,0.11,45.4,Good,Surge Drum
V-202,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.27,10.51,2022-04-15,0.12,39.2,Good,Surge Drum
V-301,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.64,17.8,2022-04-15,0.08,101.4,Good,Separator
V-301,TOP_HEAD,TO-N,N,-,19.05,9.53,18.07,18.39,2022-04-15,0.16,53.4,Good,Separator
V-301,TOP_HEAD,TO-E,E,-,19.05,9.53,18.39,18.55,2022-04-15,0.08,110.8,Good,Separator
V-301,TOP_HEAD,TO-S,S,-,19.05,9.53,17.8,17.96,2022-04-15,0.08,103.4,Good,Separator
V-301,TOP_HEAD,TO-W,W,-,19.05,9.53,17.92,18.18,2022-04-15,0.13,64.5,Good,Separator
V-301,BTM_HEAD,BT-C,Center,-,19.05,9.53,17.05,17.27,2022-04-15,0.11,68.4,Good,Separator
V-301,BTM_HEAD,BT-N,N,-,19.05,9.53,16.89,17.18,2022-04-15,0.14,52.6,Good,Separator
V-301,BTM_HEAD,BT-E,E,-,19.05,9.53,16.9,17.13,2022-04-15,0.12,61.4,Good,Separator
V-301,BTM_HEAD,BT-S,S,-,19.05,9.53,17.35,17.61,2022-04-15,0.13,60.2,Good,Separator
V-301,BTM_HEAD,BT-W,W,-,19.05,9.53,16.58,16.78,2022-04-15,0.1,70.5,Good,Separator
V-301,SHELL_1,SC1-N,N,Mid,25.4,12.7,23.94,24.32,2022-04-15,0.19,59.2,Good,Separator
V-301,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.42,24.75,2022-04-15,0.16,73.3,Good,Separator
V-301,SHELL_1,SC1-E,E,Mid,25.4,12.7,24.28,24.65,2022-04-15,0.18,64.3,Good,Separator
V-301,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,23.76,24.11,2022-04-15,0.17,65.1,Good,Separator
V-301,SHELL_1,SC1-S,S,Mid,25.4,12.7,24.13,24.53,2022-04-15,0.2,57.1,Good,Separator
V-301,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,24.26,24.55,2022-04-15,0.14,82.6,Good,Separator
V-301,SHELL_1,SC1-W,W,Mid,25.4,12.7,24.26,24.45,2022-04-15,0.09,128.4,Good,Separator
V-301,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,24.96,25.32,2022-04-15,0.18,68.1,Good,Separator
V-301,SHELL_2,SC2-N,N,Mid,25.4,12.7,23.01,23.39,2022-04-15,0.19,54.3,Good,Separator
V-301,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.26,22.57,2022-04-15,0.15,63.7,Good,Separator
V-301,SHELL_2,SC2-E,E,Mid,25.4,12.7,22.96,23.22,2022-04-15,0.13,78.9,Good,Separator
V-301,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.8,23.0,2022-04-15,0.1,101.0,Good,Separator
V-301,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.41,23.79,2022-04-15,0.19,56.4,Good,Separator
V-301,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,22.57,22.8,2022-04-15,0.12,82.3,Good,Separator
V-301,SHELL_2,SC2-W,W,Mid,25.4,12.7,23.19,23.45,2022-04-15,0.13,80.7,Good,Separator
V-301,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.93,23.15,2022-04-15,0.11,93.0,Good,Separator
V-301,SHELL_3,SC3-N,N,Mid,25.4,12.7,23.62,24.0,2022-04-15,0.19,57.5,Good,Separator
V-301,SHELL_3,SC3-NE,NE,Mid,25.4,12.7,24.41,24.61,2022-04-15,0.1,117.1,Good,Separator
V-301,SHELL_3,SC3-E,E,Mid,25.4,12.7,24.21,24.56,2022-04-15,0.17,67.7,Good,Separator
V-301,SHELL_3,SC3-SE,SE,Mid,25.4,12.7,24.12,24.51,2022-04-15,0.2,57.1,Good,Separator
V-301,SHELL_3,SC3-S,S,Mid,25.4,12.7,24.36,24.56,2022-04-15,0.1,116.6,Good,Separator
V-301,SHELL_3,SC3-SW,SW,Mid,25.4,12.7,24.12,24.42,2022-04-15,0.15,76.1,Good,Separator
V-301,SHELL_3,SC3-W,W,Mid,25.4,12.7,24.24,24.59,2022-04-15,0.18,64.1,Good,Separator
V-301,SHELL_3,SC3-NW,NW,Mid,25.4,12.7,24.61,24.97,2022-04-15,0.18,66.2,Good,Separator
V-301,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.66,10.84,2022-04-15,0.09,56.6,Good,Separator
V-301,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.35,10.45,2022-04-15,0.05,95.6,Good,Separator
V-301,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.72,10.86,2022-04-15,0.07,73.6,Good,Separator
V-301,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.67,10.86,2022-04-15,0.09,56.7,Good,Separator
V-302,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.59,17.86,2022-04-15,0.13,62.0,Good,KO Drum
V-302,TOP_HEAD,TO-N,N,-,19.05,9.53,17.68,17.84,2022-04-15,0.08,101.9,Good,KO Drum
V-302,TOP_HEAD,TO-E,E,-,19.05,9.53,18.14,18.45,2022-04-15,0.15,57.4,Good,KO Drum
V-302,TOP_HEAD,TO-S,S,-,19.05,9.53,18.59,18.92,2022-04-15,0.17,53.3,Good,KO Drum
V-302,TOP_HEAD,TO-W,W,-,19.05,9.53,18.23,18.41,2022-04-15,0.09,96.7,Good,KO Drum
V-302,BTM_HEAD,BT-C,Center,-,19.05,9.53,17.51,17.69,2022-04-15,0.09,88.7,Good,KO Drum
V-302,BTM_HEAD,BT-N,N,-,19.05,9.53,16.6,16.91,2022-04-15,0.15,47.1,Fair,KO Drum
V-302,BTM_HEAD,BT-E,E,-,19.05,9.53,17.44,17.74,2022-04-15,0.15,52.7,Good,KO Drum
V-302,BTM_HEAD,BT-S,S,-,19.05,9.53,17.52,17.7,2022-04-15,0.09,88.8,Good,KO Drum
V-302,BTM_HEAD,BT-W,W,-,19.05,9.53,17.39,17.68,2022-04-15,0.14,56.1,Good,KO Drum
V-302,SHELL_1,SC1-N,N,Mid,25.4,12.7,24.67,25.01,2022-04-15,0.17,70.4,Good,KO Drum
V-302,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.91,25.26,2022-04-15,0.18,67.8,Good,KO Drum
V-302,SHELL_1,SC1-E,E,Mid,25.4,12.7,24.48,24.86,2022-04-15,0.19,62.0,Good,KO Drum
V-302,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,23.9,24.18,2022-04-15,0.14,80.0,Good,KO Drum
V-302,SHELL_1,SC1-S,S,Mid,25.4,12.7,24.44,24.76,2022-04-15,0.16,73.4,Good,KO Drum
V-302,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,24.76,25.04,2022-04-15,0.14,86.1,Good,KO Drum
V-302,SHELL_1,SC1-W,W,Mid,25.4,12.7,23.93,24.26,2022-04-15,0.17,66.1,Good,KO Drum
V-302,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,23.65,23.9,2022-04-15,0.12,91.2,Good,KO Drum
V-302,SHELL_2,SC2-N,N,Mid,25.4,12.7,22.91,23.1,2022-04-15,0.1,102.1,Good,KO Drum
V-302,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,23.03,23.22,2022-04-15,0.09,114.8,Good,KO Drum
V-302,SHELL_2,SC2-E,E,Mid,25.4,12.7,22.45,22.64,2022-04-15,0.1,97.5,Good,KO Drum
V-302,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.95,23.28,2022-04-15,0.17,60.3,Good,KO Drum
V-302,SHELL_2,SC2-S,S,Mid,25.4,12.7,22.13,22.45,2022-04-15,0.16,58.9,Good,KO Drum
V-302,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,23.55,23.74,2022-04-15,0.09,120.6,Good,KO Drum
V-302,SHELL_2,SC2-W,W,Mid,25.4,12.7,23.21,23.6,2022-04-15,0.2,52.6,Good,KO Drum
V-302,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,23.07,23.44,2022-04-15,0.19,54.6,Good,KO Drum
V-302,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.91,11.03,2022-04-15,0.06,89.0,Good,KO Drum
V-302,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.48,10.61,2022-04-15,0.06,81.8,Good,KO Drum
V-302,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.88,11.01,2022-04-15,0.06,88.5,Good,KO Drum
V-302,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.86,11.06,2022-04-15,0.1,52.9,Good,KO Drum
